Layer, q_weight, q_input, q_output, k_weight, k_input, k_output, v_weight, v_input, v_output, o_weight, o_input, o_output, gate_weight, gate_input, gate_output, up_weight, up_input, up_output, down_weight, down_input, down_output
Layer 22, 0.93359375, 19.109375, 20.5625, 0.369140625, 19.109375, 18.234375, 0.1787109375, 19.109375, 6.375, 0.546875, 5.015625, 10.671875, 0.294921875, 8.90625, 11.5234375, 0.2294921875, 8.90625, 9.8046875, 0.73046875, 29.625, 6.62109375
Layer 23, 0.87109375, 19.78125, 19.03125, 0.314453125, 19.78125, 20.0, 0.1513671875, 19.78125, 8.078125, 0.76953125, 7.06640625, 14.9453125, 0.369140625, 8.734375, 14.1953125, 0.26953125, 8.734375, 9.3515625, 0.388671875, 32.5, 5.4375
Layer 24, 0.80859375, 19.0625, 15.9765625, 0.30859375, 19.0625, 18.234375, 0.1513671875, 19.0625, 6.328125, 0.482421875, 5.6640625, 17.421875, 0.412109375, 8.4296875, 12.0234375, 0.296875, 8.4296875, 7.9765625, 1.3046875, 38.03125, 8.9921875
Layer 25, 1.0234375, 21.171875, 16.453125, 0.328125, 21.171875, 19.578125, 0.181640625, 21.171875, 8.0390625, 0.7265625, 8.0234375, 17.140625, 0.34375, 9.53125, 15.2109375, 0.1962890625, 9.53125, 7.69921875, 0.71875, 44.875, 6.55859375
Layer 26, 0.63671875, 19.0625, 15.3984375, 0.361328125, 19.0625, 19.171875, 0.125, 19.0625, 7.35546875, 0.6484375, 5.36328125, 5.88671875, 0.55078125, 9.609375, 14.2578125, 0.251953125, 9.609375, 10.1640625, 1.015625, 49.5625, 14.703125
Layer 27, 0.859375, 20.53125, 15.578125, 0.353515625, 20.53125, 20.0, 0.1962890625, 20.53125, 7.83203125, 0.68359375, 6.26953125, 21.0, 0.408203125, 10.8046875, 13.28125, 0.36328125, 10.8046875, 10.40625, 0.57421875, 53.9375, 8.7265625
Layer 28, 0.78515625, 14.390625, 15.359375, 0.287109375, 14.390625, 19.953125, 0.1279296875, 14.390625, 12.90625, 0.62109375, 7.26171875, 15.8828125, 0.6328125, 12.0390625, 12.9453125, 0.3359375, 12.0390625, 16.078125, 0.7578125, 48.3125, 7.765625
Layer 29, 0.76953125, 14.390625, 18.03125, 0.365234375, 14.390625, 19.625, 0.16796875, 14.390625, 7.6953125, 0.77734375, 5.734375, 8.5703125, 0.388671875, 13.0, 20.28125, 0.3671875, 13.0, 14.828125, 0.9921875, 64.125, 12.390625
Layer 30, 0.80859375, 16.71875, 17.453125, 0.365234375, 16.71875, 20.765625, 0.130859375, 16.71875, 9.2421875, 0.61328125, 6.16796875, 22.234375, 0.4609375, 13.9140625, 19.578125, 0.54296875, 13.9140625, 20.140625, 0.9765625, 58.03125, 35.40625
Layer 31, 0.80859375, 14.5234375, 17.734375, 0.365234375, 14.5234375, 18.953125, 0.498046875, 14.5234375, 11.46875, 0.62109375, 9.171875, 15.0859375, 0.7890625, 16.625, 78.1875, 0.76953125, 16.625, 69.8125, 1.296875, 1141.0, 2244.0
Layer 32, 0.6640625, 15.171875, 20.09375, 0.400390625, 15.171875, 22.453125, 0.38671875, 15.171875, 13.2890625, 1.296875, 10.40625, 237.125, 0.375, 18.6875, 24.546875, 0.75390625, 18.6875, 39.0625, 1.765625, 147.0, 260.5
